Taqueria El Cazador,8.25
Crickets,8
Straight to Ale,8.4
Chick-fil-a,8.4
Commerce Kitchen,9
Sam and Greg's,6
Big Shakes,8
Texas De Brazil,6
Earth Stone and Fire Pizza,5.5
Five Guys,7.6
Ole Hildeberg,8.8
Connors,7
Tenders,7
Old Black Bear,7.69
Pieology,6
Another Broken Egg,5
Publix,6.45
Edo,5.9
Big Ed's Pizza,6.5
Zaxby's,7
Main Street,7.9
Donato's,5.8
Jersey Mike's,6.9
Nothing But Noodles,5
Cracker Barrel,6.4
Firehouse,4.2
Schlotzkys,5.1
Moe's Southwest,6.2
Libby's Catfish,6.1
Rosie's,7.3
Guadalajara,5.8
Red Fish,6.1
Bruegger's Bagels,4
Taco Bell,5
Waffle House,6.9
Zoe's Kitchen,6
Top Golf,3
Wendy's,5
Steak and Shake,1
IHOP,2
Panda Express,6.2
Arby's,2
Captain D's,5
KFC,2
Krystal,5
Sonic,1
McDonald's,2
CiCi's,0
