Crickets,9.5
Straight to Ale,9
Chick-fil-a,8
Sam and Greg's,8
Big Shakes,10
Texas De Brazil,9.5
Earth Stone and Fire Pizza,8
Saigon,8
Five Guys,8
Connors,6
Metro Diner,8.5
Tenders,8
Big Bowl Thai,9
Pieology,8
Farm Burger,7
Publix,7.5
Poke Aloha,7
Zaxby's,6
Donato's,8.5
Jersey Mike's,7
Nothing But Noodles,7
Cracker Barrel,6.5
Firehouse,8
Schlotzkys,5
Moe's Southwest,7.5
Rosie's,6
Bruegger's Bagels,6
88 Buffet,6
Taco Bell,5
Cheddars,6
O'Charleys,6
Waffle House,5
Top Golf,7
Wendy's,6
Logan's,7
Steak and Shake,6
IHOP,6
Panda Express,5
Arby's,4
Captain D's,0
KFC,2
Krystal,4
Sonic,1
McDonald's,5
CiCi's,6
Applebee's,1
