Taqueria El Cazador,9
Crickets,8
Straight to Ale,9
Chick-fil-a,10
Sam and Greg's,9
Big Shakes,8
Earth Stone and Fire Pizza,9
Saigon,7
Five Guys,8
Ole Hildeberg,9
Connors,10
Metro Diner,7.5
Tenders,7.5
Old Black Bear,9
Big Bowl Thai,8
Pieology,7.5
Tim's Cajun Kitchen,7.5
Edo,7.5
Poke Aloha,4
Old Mexico,7
Big Ed's Pizza,8
Apple Lane,6
Zaxby's,6
Main Street,7.8
Villa Longin,7.5
Donato's,7
Jersey Mike's,6.5
Nothing But Noodles,7
Cracker Barrel,7.5
Firehouse,7.5
Schlotzkys,6.5
Moe's Southwest,6.5
Saffron,8
Gyro Uno,8.1
Haru,7.5
Libby's Catfish,6
Rosie's,5
Red Fish,7
88 Buffet,7.5
Taco Bell,7
Cheddars,7
O'Charleys,6
Waffle House,8
Zoe's Kitchen,4
Madison House of Pizza,6
Wendy's,6
Logan's,7
China Buffet,7
IHOP,6
Panda Express,6.5
Arby's,5
Captain D's,7
KFC,5
Krystal,3
Sonic,4
McDonald's,5
CiCi's,3
Applebee's,5
