Crickets,9
Straight to Ale,7.8
Chick-fil-a,8
Sam and Greg's,8
Big Shakes,8
Texas De Brazil,6
Earth Stone and Fire Pizza,7.5
Saigon,8
Viet Cuisine,7.8
Toybox Bistro,9
Five Guys,9
Connors,8
Sunny Street Cafe,9
Metro Diner,7.5
Tenders,8.5
Old Black Bear,8.5
Pieology,9
Another Broken Egg,8
Farm Burger,8
Publix,7.5
Edo,7.5
Old Mexico,8
Apple Lane,7.5
Zaxby's,8.5
Main Street,7.5
Villa Longin,7.5
Donato's,7.5
Jersey Mike's,7.5
El Coyote,7
Nothing But Noodles,8
Cracker Barrel,6
Local Taco,8
Firehouse,7
Schlotzkys,8
Saffron,7.5
I Love Korea,5
Gyro Uno,8
Haru,5
Libby's Catfish,2
Rosie's,8
Guadalajara,7
Red Fish,7.5
88 Buffet,2
Taco Bell,5
Cheddars,7
O'Charleys,7
Waffle House,5
Zoe's Kitchen,7
Madison House of Pizza,7.2
Top Golf,6
Wendy's,6
Logan's,6
Steak and Shake,8
China Buffet,6
IHOP,7.5
Panda Express,7
Arby's,4
Captain D's,3
KFC,6
Krystal,8
Sonic,6
McDonald's,2
CiCi's,4
Applebee's,1
Golden Corral,0
