Taqueria El Cazador,7
Crickets,10
Straight to Ale,10
Chick-fil-a,8
Commerce Kitchen,6
Sam and Greg's,10
Big Shakes,7
Texas De Brazil,7
Earth Stone and Fire Pizza,8
Saigon,7
Toybox Bistro,6
Five Guys,7
Ole Hildeberg,8
Connors,7
Sunny Street Cafe,7
Tenders,8
Old Black Bear,4
Big Bowl Thai,6
Pieology,5
Another Broken Egg,7
Tim's Cajun Kitchen,8
Farm Burger,8
Publix,5
Edo,5
Poke Aloha,7
Zaxby's,8
Main Street,6
Villa Longin,6
Donato's,8
Jersey Mike's,7
El Coyote,9
Nothing But Noodles,7
Cracker Barrel,4
Local Taco,5
Firehouse,7
Schlotzkys,7
Moe's Southwest,6
Saffron,6
Gyro Uno,7
Libby's Catfish,7
Rosie's,7
Red Fish,8
Bruegger's Bagels,4
88 Buffet,7
Taco Bell,7
Cheddars,4
O'Charleys,6
Waffle House,4
Zoe's Kitchen,5
Madison House of Pizza,2
Wendy's,6
Logan's,4
Steak and Shake,7
China Buffet,4
IHOP,5
New China Buffet II,6
Panda Express,3
Arby's,7
Captain D's,6
KFC,3
Krystal,4
Sonic,5
McDonald's,6
CiCi's,6
Applebee's,6
