Taqueria El Cazador,9
Crickets,6
Straight to Ale,9
Chick-fil-a,7
Commerce Kitchen,9
Sam and Greg's,7
Earth Stone and Fire Pizza,10
Saigon,7
Viet Cuisine,9
Toybox Bistro,9
Five Guys,6
Ole Hildeberg,8
Connors,6
Tenders,7
Old Black Bear,8
Big Bowl Thai,7
Pieology,6
Tim's Cajun Kitchen,5
Farm Burger,6
Publix,7
Edo,8
Poke Aloha,7
Big Ed's Pizza,7
Zaxby's,6
Main Street,6
Donato's,5
Jersey Mike's,7
El Coyote,6
Nothing But Noodles,5
Cracker Barrel,5
Local Taco,6
Firehouse,5
Schlotzkys,5
Moe's Southwest,5
Saffron,5
I Love Korea,7
Gyro Uno,5
Haru,8
Rosie's,5
Guadalajara,4
Red Fish,3
Bruegger's Bagels,5
88 Buffet,2
Taco Bell,4
Cheddars,4
O'Charleys,5
Waffle House,4
Zoe's Kitchen,5
Madison House of Pizza,6
Top Golf,5
Wendy's,2
Logan's,4
Steak and Shake,2
China Buffet,3
IHOP,1
New China Buffet II,3
Panda Express,1
Arby's,1
Captain D's,1
KFC,4
Krystal,1
Sonic,4
McDonald's,1
CiCi's,3
Applebee's,2
Golden Corral,2
