Taqueria El Cazador,10
Crickets,10
Straight to Ale,9
Chick-fil-a,10
Sam and Greg's,9
Big Shakes,8
Texas De Brazil,8
Earth Stone and Fire Pizza,10
Saigon,8.5
Viet Cuisine,8
Five Guys,8
Ole Hildeberg,5
Connors,7
Sunny Street Cafe,6
Tenders,8.3
Old Black Bear,9
Pieology,8
Another Broken Egg,7
Publix,8
Edo,7.5
Big Ed's Pizza,8
Zaxby's,6.5
Main Street,6
Jersey Mike's,6
El Coyote,3
Nothing But Noodles,6
Cracker Barrel,6
Firehouse,7.5
Moe's Southwest,7.5
Saffron,6
Gyro Uno,6.8
Haru,5
Libby's Catfish,5
Rosie's,5
Guadalajara,4
88 Buffet,3
Taco Bell,6
O'Charleys,5
Waffle House,4
Zoe's Kitchen,9
Madison House of Pizza,3
Wendy's,4
Logan's,6
Steak and Shake,5
China Buffet,3
IHOP,4
Panda Express,5
Arby's,5
KFC,5
Krystal,4
Sonic,5
McDonald's,4
CiCi's,0
Applebee's,4
Golden Corral,1
